item_id,original_title,release_year,genres,rating,rating_num,s_hat_5,prior_m,C
tt14549466,Crimes of the Future,2022,Horror/Science Fiction,3.3,2097780.0,3.3,3.58,80
tt14561712,La Chimera,2023,Drama/Comedy/Fantasy,4.1,2321490.0,4.1,3.58,80
tt1457767,The Conjuring,2013,Horror/Thriller,3.6,13958660.0,3.6,3.58,80
tt1465522,Tucker and Dale vs. Evil,2010,Comedy/Horror,3.7,1801660.0,3.7,3.58,80
tt1467304,The Human Centipede (First Sequence),2009,Horror,1.9,1799340.0,1.9,3.58,80
tt1469304,Baywatch,2017,Action/Crime/Comedy,2.3,2904510.0,2.3,3.58,80
tt1473832,Bridget Jones’s Baby,2016,Romance/Drama/Comedy,3.0,1776030.0,3.0,3.58,80
tt1477076,Saw 3D,2010,Crime/Horror,2.4,1741840.0,2.4,3.58,80
tt14814040,Not Okay,2022,Comedy/Drama,2.8,1803920.0,2.8,3.58,80
tt1482459,The Lorax,2012,Animation/Family,3.3,4642890.0,3.3,3.58,80
tt1483013,Oblivion,2013,Action/Adventure/Mystery/Science Fiction,3.1,2636410.0,3.1,3.58,80
tt14846026,Sisu,2022,War/Action,3.2,1648100.0,3.2,3.58,80
tt14849194,The Holdovers,2023,Drama/Comedy,,0.0,3.58,3.58,80
tt14857528,Time Cut,2024,Thriller/Horror/Science Fiction,2.1,1788510.0,2.1,3.58,80
tt1485796,The Greatest Showman,2017,Drama,3.5,9757170.0,3.5,3.58,80
tt14858658,Blink Twice,2024,Mystery/Horror/Thriller,3.3,6744050.0,3.3,3.58,80
tt1488589,Guillermo del Toro’s Pinocchio,2022,Drama/Adventure/Animation/Fantasy,4.0,6046520.0,4.0,3.58,80
tt1489887,Booksmart,2019,Comedy,3.7,8173470.0,3.7,3.58,80
tt1489889,Central Intelligence,2016,Comedy/Action,2.7,2738880.0,2.7,3.58,80
tt1490017,The Lego Movie,2014,Family/Fantasy/Comedy/Animation/Adventure,3.8,11091160.0,3.8,3.58,80
tt1493274,Caught Stealing,2025,Thriller/Crime/Comedy,3.5,1986750.0,3.5,3.58,80
tt14948432,Red One,2024,Action/Comedy/Fantasy,2.3,3187830.0,2.3,3.58,80
tt14961016,Ainda Estou Aqui,2024,Drama/History,4.3,6622410.0,4.3,3.58,80
tt14966898,Late Night with the Devil,2023,Horror,3.4,7852280.0,3.4,3.58,80
tt1499658,Horrible Bosses,2011,Crime/Comedy,3.1,3083410.0,3.1,3.58,80
tt14998742,Rebel Moon – Part One: A Child of Fire,2023,Action/Science Fiction/Adventure,2.0,1743360.0,2.0,3.58,80
tt15009428,Argylle,2024,Action/Thriller/Adventure/Comedy,2.3,2526370.0,2.3,3.58,80
tt1502397,Bad Boys for Life,2020,Action/Crime/Thriller,2.9,1873700.0,2.9,3.58,80
tt1502407,Halloween,2018,Crime/Drama/Thriller/Horror,3.2,4502370.0,3.2,3.58,80
tt1502712,Fantastic Four,2015,Science Fiction/Adventure/Action,1.3,2638440.0,1.3,3.58,80
tt1504320,The King’s Speech,2010,History/Drama,3.8,4271540.0,3.8,3.58,80
tt15078804,Problemista,2023,Comedy,3.9,1184850.0,3.9,3.58,80
tt15090124,Mad God,2021,Horror/Science Fiction/Animation/Fantasy/War,3.8,1290620.0,3.8,3.58,80
tt1515091,Sherlock Holmes: A Game of Shadows,2011,Crime/Mystery/Action/Adventure,3.3,3331030.0,3.3,3.58,80
